i;r;s;tx;trm;tm
eng;row;noa;0.0;5.5181818181818185;0.0
eng;row;oce;0.0;0.9220055710306406;0.0
eng;row;row;5.578489345085351e-05;0.04730295085625035;0.0005326515393629487
eng;row;rus;0.10874357090374724;0.0011265738899933731;0.0
eng;row;soa;0.018467583497053044;0.05864197530864197;0.000241196333815726
eng;rus;Unnamed: 10;0.0;0.0;0.0
eng;rus;afr;0.0;0.24982456140350878;0.016042780748663103
eng;rus;asia;0.0196078431372549;9.813186813186814;0.00655322917325574
eng;rus;cis;0.020398009950248756;0.37152608483666505;0.0
eng;rus;eur;0.001183431952662722;7.773049645390071;3.040363870748051e-05
eng;rus;noa;0.0;0.10422721268163805;0.0
eng;rus;oce;0.0;0.27011494252873564;0.0
eng;rus;row;0.0;0.2013745704467354;0.0
eng;rus;rus;0.0;0.0;0.0
eng;rus;soa;0.002463054187192153;0.5135135135135135;0.0
eng;soa;Unnamed: 10;0.0;0.0;0.0
eng;soa;afr;0.00018129079042784627;0.008646003262642742;0.002425222312045271
eng;soa;asia;0.01977401129943503;18.229916897506925;0.0014047517254015757
eng;soa;cis;0.005208333333333333;0.029274611398963733;0.0
eng;soa;eur;-0.00042643923240938164;0.8937713310580204;0.00017907026717283863
eng;soa;noa;0.0001876172607879925;0.42055899456012;0.0026129435376983376
eng;soa;oce;0.0;0.0032363315696649028;0.0
eng;soa;row;0.0;0.06735102653980972;0.03598881900768693
