i;j;s;value
man;arg;eur;0.7127157459110006
man;arg;noa;0.7768238348457748
man;arg;oce;0.4449347319021637
man;arg;row;0.451011887886867
man;arg;rus;0.7932548421178001
man;arg;soa;0.7479573680507768
man;eng;afr;0.3031991865826943
man;eng;asia;0.9246556785173247
man;eng;cis;0.44119916881831595
man;eng;eur;0.6498502724534697
man;eng;noa;0.690030048521696
man;eng;oce;0.5210624000811449
man;eng;row;0.34760769710482914
man;eng;rus;0.7974763816323271
man;eng;soa;0.6620383352198808
man;its;afr;0.3787628243759365
man;its;asia;0.9198823289299974
man;its;cis;0.4478967971382977
man;its;eur;0.6753966971007679
man;its;noa;0.7453504747535005
man;its;oce;0.5211007658979566
man;its;row;0.43896143922830194
man;its;rus;0.7386534190210151
man;its;soa;0.7548332860474537
man;man;afr;0.375931602628793
man;man;asia;0.9093946470740527
man;man;cis;0.4284415978405691
man;man;eur;0.5900460033495897
man;man;noa;0.6446509901669449
man;man;oce;0.6579653026644172
man;man;row;0.41616935499228114
man;man;rus;0.7529268918273663
man;man;soa;0.6712557836002113
